quarter;18-29;30-39;40-49;50-59;60-69;70+
00:Q1; 30.0 ; 90.6 ; 91.3 ; 59.6 ; 22.7 ; 11.5 
00:Q2; 28.0 ; 76.1 ; 67.2 ; 46.1 ; 12.5 ; 7.4 
00:Q3; 35.6 ; 95.8 ; 83.2 ; 50.2 ; 20.5 ; 9.2 
00:Q4; 36.4 ; 96.2 ; 92.8 ; 48.1 ; 15.7 ; 9.5 
01:Q1; 34.5 ; 103.7 ; 101.8 ; 64.2 ; 21.1 ; 11.5 
01:Q2; 30.9 ; 100.3 ; 98.1 ; 63.8 ; 21.6 ; 11.8 
01:Q3; 48.6 ; 155.0 ; 155.7 ; 91.3 ; 32.4 ; 10.6 
01:Q4; 46.3 ; 149.9 ; 144.3 ; 92.1 ; 28.2 ; 12.9 
02:Q1; 51.6 ; 204.3 ; 209.1 ; 135.1 ; 41.4 ; 18.3 
02:Q2; 45.2 ; 165.9 ; 160.0 ; 105.2 ; 35.3 ; 14.9 
02:Q3; 51.4 ; 185.4 ; 192.1 ; 112.4 ; 35.2 ; 16.5 
02:Q4; 56.2 ; 211.9 ; 215.3 ; 122.5 ; 46.8 ; 16.8 
03:Q1; 60.2 ; 271.9 ; 310.9 ; 208.4 ; 72.1 ; 19.7 
03:Q2; 61.8 ; 278.0 ; 332.4 ; 220.6 ; 75.2 ; 24.9 
03:Q3; 79.7 ; 295.6 ; 334.0 ; 217.6 ; 81.9 ; 26.7 
03:Q4; 79.1 ; 309.0 ; 322.9 ; 194.2 ; 70.8 ; 24.0 
04:Q1; 49.2 ; 176.6 ; 204.7 ; 136.8 ; 48.6 ; 17.7 
04:Q2; 60.3 ; 201.7 ; 215.6 ; 138.3 ; 55.9 ; 16.9 
04:Q3; 77.0 ; 230.9 ; 238.4 ; 149.8 ; 58.3 ; 18.9 
04:Q4; 78.3 ; 194.8 ; 201.3 ; 121.4 ; 45.9 ; 15.7 
05:Q1; 56.7 ; 182.4 ; 203.7 ; 137.8 ; 50.5 ; 19.5 
05:Q2; 60.3 ; 187.0 ; 186.0 ; 130.8 ; 45.3 ; 16.0 
05:Q3; 79.5 ; 221.4 ; 227.0 ; 153.5 ; 53.8 ; 16.7 
05:Q4; 79.9 ; 230.1 ; 251.8 ; 159.9 ; 56.4 ; 14.4 
06:Q1; 59.9 ; 182.8 ; 218.0 ; 132.3 ; 55.8 ; 17.6 
06:Q2; 67.6 ; 192.1 ; 212.0 ; 151.9 ; 75.0 ; 22.4 
06:Q3; 72.4 ; 207.5 ; 213.1 ; 136.9 ; 60.8 ; 17.3 
06:Q4; 65.5 ; 188.0 ; 186.9 ; 127.8 ; 51.5 ; 17.2 
07:Q1; 66.3 ; 207.2 ; 219.9 ; 161.5 ; 70.7 ; 22.1 
07:Q2; 55.5 ; 170.9 ; 186.8 ; 150.3 ; 58.9 ; 19.1 
07:Q3; 73.4 ; 196.6 ; 201.8 ; 146.8 ; 57.5 ; 23.2 
07:Q4; 52.1 ; 131.9 ; 142.1 ; 119.9 ; 52.3 ; 14.7 
08:Q1; 42.7 ; 115.6 ; 129.6 ; 100.7 ; 45.2 ; 16.8 
08:Q2; 48.8 ; 149.9 ; 159.0 ; 122.3 ; 60.5 ; 16.7 
08:Q3; 39.3 ; 110.1 ; 109.6 ; 75.7 ; 36.8 ; 10.5 
08:Q4; 36.7 ; 87.6 ; 76.6 ; 64.5 ; 23.8 ; 9.4 
09:Q1; 31.4 ; 96.0 ; 122.5 ; 84.2 ; 43.4 ; 19.0 
09:Q2; 36.3 ; 128.3 ; 165.3 ; 115.3 ; 51.4 ; 16.3 
09:Q3; 41.3 ; 131.3 ; 155.6 ; 114.8 ; 49.9 ; 15.0 
09:Q4; 40.3 ; 98.2 ; 111.1 ; 79.7 ; 39.9 ; 14.3 
10:Q1; 36.5 ; 97.9 ; 108.4 ; 80.2 ; 42.1 ; 13.2 
10:Q2; 30.8 ; 92.5 ; 96.6 ; 83.4 ; 44.4 ; 16.8 
10:Q3; 34.9 ; 99.8 ; 115.4 ; 83.1 ; 39.0 ; 14.7 
10:Q4; 30.7 ; 110.9 ; 140.3 ; 108.5 ; 54.6 ; 17.5 
11:Q1; 22.8 ; 110.7 ; 165.3 ; 116.7 ; 62.5 ; 18.1 
11:Q2; 19.3 ; 81.2 ; 104.9 ; 84.8 ; 46.8 ; 14.5 
11:Q3; 23.9 ; 62.5 ; 89.5 ; 62.6 ; 41.0 ; 12.7 
11:Q4; 22.9 ; 99.0 ; 125.5 ; 89.0 ; 52.8 ; 12.9 
12:Q1; 19.8 ; 90.1 ; 126.6 ; 97.2 ; 58.0 ; 17.7 
12:Q2; 21.7 ; 98.8 ; 139.4 ; 111.1 ; 69.2 ; 22.0 
12:Q3; 30.1 ; 116.1 ; 156.0 ; 121.2 ; 74.0 ; 22.1 
12:Q4; 37.2 ; 136.4 ; 168.2 ; 128.7 ; 62.6 ; 19.0 
13:Q1; 25.0 ; 126.7 ; 171.2 ; 148.0 ; 75.9 ; 28.0 
13:Q2; 31.8 ; 125.1 ; 166.5 ; 134.8 ; 85.9 ; 31.0 
13:Q3; 34.2 ; 122.7 ; 158.9 ; 128.1 ; 76.0 ; 26.3 
13:Q4; 32.3 ; 106.8 ; 126.6 ; 107.0 ; 51.6 ; 22.1 
14:Q1; 24.2 ; 82.6 ; 92.3 ; 77.6 ; 41.2 ; 11.6 
14:Q2; 23.6 ; 72.7 ; 79.6 ; 60.6 ; 38.0 ; 10.6 
14:Q3; 26.7 ; 93.2 ; 92.1 ; 71.1 ; 39.9 ; 12.0 
14:Q4; 31.1 ; 97.6 ; 96.8 ; 72.0 ; 41.1 ; 13.5 
15:Q1; 22.6 ; 95.0 ; 106.1 ; 70.6 ; 55.1 ; 16.3 
15:Q2; 34.6 ; 121.7 ; 134.4 ; 102.5 ; 51.6 ; 20.4 
15:Q3; 41.5 ; 135.7 ; 141.2 ; 109.3 ; 50.5 ; 21.4 
15:Q4; 40.1 ; 117.2 ; 113.2 ; 98.3 ; 51.2 ; 16.6 
16:Q1; 25.3 ; 95.9 ; 102.7 ; 92.0 ; 53.7 ; 19.3 
16:Q2; 32.1 ; 113.1 ; 123.2 ; 88.5 ; 45.0 ; 25.0 
16:Q3; 43.2 ; 132.1 ; 133.3 ; 93.5 ; 57.3 ; 18.0 
16:Q4; 50.0 ; 163.7 ; 178.3 ; 120.9 ; 76.6 ; 27.3 
17:Q1; 33.1 ; 132.9 ; 123.0 ; 118.3 ; 56.7 ; 26.6 
17:Q2; 36.4 ; 111.1 ; 112.2 ; 90.0 ; 49.9 ; 21.2 
17:Q3; 48.1 ; 134.7 ; 124.2 ; 93.2 ; 56.7 ; 22.4 
17:Q4; 45.1 ; 129.6 ; 115.7 ; 85.8 ; 52.8 ; 22.4 
18:Q1; 29.1 ; 101.9 ; 128.8 ; 84.5 ; 56.5 ; 27.1 
18:Q2; 37.4 ; 120.7 ; 109.1 ; 90.7 ; 51.5 ; 27.5 
18:Q3; 47.0 ; 124.8 ; 110.8 ; 88.2 ; 54.7 ; 19.8 
18:Q4; 36.1 ; 115.0 ; 111.3 ; 72.1 ; 42.5 ; 24.6 
19:Q1; 29.7 ; 99.4 ; 85.5 ; 67.9 ; 39.9 ; 21.4 
19:Q2;43.65;130.1;119.8;96.51;55.81;28
19:Q3;45.56;156.8;142.5;96.92;56.47;29.6
19:Q4;65.84;210.1;208.5;143.8;88.49;34.46
